
S&P 500 INDEX,Last: 6706.21,Change:  74.02
Date: 16 marzo 2026 alle ore 13:10 GMT-4,Bid: 6704.5698,Ask: 6708.0298,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Aug 21 2026,SPX260821C00200000,6647.98,0,6472.3,6492.9,0,2.0048,1,0,6,200.00,SPX260821P00200000,0.05,0,0,0.1,0,1.5251,-0.0001,0,10579
Fri Aug 21 2026,SPX260821C00400000,6430.02,0,6275.2,6295.7,0,1.4828,1,0,1,400.00,SPX260821P00400000,0.08,0,0,0.15,0,1.2445,-0.0002,0,3861
Fri Aug 21 2026,SPX260821C00600000,0,0,6079,6099.5,0,1.3004,1,0,0,600.00,SPX260821P00600000,0.15,0,0,0.2,0,1.0824,-0.0003,0,962
Fri Aug 21 2026,SPX260821C00800000,5924.45,0,5882.9,5903.4,0,1.1782,1,0,0,800.00,SPX260821P00800000,0.32,0,0.15,0.35,0,1.0171,-0.0004,0,758
Fri Aug 21 2026,SPX260821C01000000,5570.31,0,5686.6,5707.3,0,1.0733,1,0,0,1000.00,SPX260821P01000000,0.5,-0.15,0.35,0.5,1,0.9491,-0.0006,0,634
Fri Aug 21 2026,SPX260821C01200000,0,0,5490.4,5510.9,0,0.9812,1,0,0,1200.00,SPX260821P01200000,0.9,0,0.6,0.9,0,0.9014,-0.0008,0,569
Fri Aug 21 2026,SPX260821C01400000,5142.8,0,5294.5,5315,0,0.8323,0.9997,0,1,1400.00,SPX260821P01400000,1.49,0,1,1.3,0,0.8549,-0.0011,0,840
Fri Aug 21 2026,SPX260821C01600000,0,0,5097.9,5117.9,0,0.8295,0.9993,0,0,1600.00,SPX260821P01600000,1.75,-0.5,1.5,1.8,2,0.8118,-0.0015,0,4512
Fri Aug 21 2026,SPX260821C01800000,0,0,4901.8,4922,0,0.7808,0.9987,0,0,1800.00,SPX260821P01800000,2.35,-0.75,2.15,2.45,5,0.7733,-0.002,0,1931
Fri Aug 21 2026,SPX260821C02000000,4611.96,0,4706.8,4725.9,0,0.7248,0.998,0,0,2000.00,SPX260821P02000000,4,0,2.95,3.3,0,0.7382,-0.0027,0,603
Fri Aug 21 2026,SPX260821C02200000,4720.33,0,4511.2,4531,0,0.6924,0.9971,0,0,2200.00,SPX260821P02200000,4,-1.25,3.8,4.2,6,0.7026,-0.0036,0,1353
Fri Aug 21 2026,SPX260821C02400000,0,0,4315.5,4334.9,0,0.6729,0.9959,0,0,2400.00,SPX260821P02400000,5.09,-1.36,4.9,5.3,177,0.6704,-0.0048,0,1632
Fri Aug 21 2026,SPX260821C02500000,0,0,4217.8,4237.1,0,0.6552,0.9953,0,0,2500.00,SPX260821P02500000,5.67,-1.48,5.5,5.9,1,0.6546,-0.0055,0,867
Fri Aug 21 2026,SPX260821C02600000,0,0,4120.2,4139.3,0,0.6383,0.9945,0,0,2600.00,SPX260821P02600000,8.04,0,6.1,6.6,0,0.6392,-0.0062,0,420
Fri Aug 21 2026,SPX260821C02700000,0,0,4023.2,4041.5,0,0.6244,0.9937,0,0,2700.00,SPX260821P02700000,7.2,-1.65,6.8,7.2,2,0.6236,-0.007,0,264
Fri Aug 21 2026,SPX260821C02800000,0,0,3925.9,3943.7,0,0.6096,0.9928,0,0,2800.00,SPX260821P02800000,7.95,-1.8,7.6,8,86,0.6095,-0.0079,0,184
Fri Aug 21 2026,SPX260821C02900000,0,0,3828.4,3846.6,0,0.5965,0.9918,0,0,2900.00,SPX260821P02900000,8.55,-2.2,8.4,8.8,48,0.595,-0.0089,0,188
Fri Aug 21 2026,SPX260821C03000000,3478.87,0,3731.6,3749.5,0,0.5858,0.9908,0,1,3000.00,SPX260821P03000000,9.3,-2.5,9.2,9.6,106,0.5803,-0.01,0,1461
Fri Aug 21 2026,SPX260821C03100000,0,0,3634.4,3651.9,0,0.5709,0.9896,0,0,3100.00,SPX260821P03100000,10.72,-2.18,10.1,10.6,24,0.5667,-0.0111,0,1717
Fri Aug 21 2026,SPX260821C03200000,3713.43,0,3537.4,3554.9,0,0.5587,0.9884,0,3,3200.00,SPX260821P03200000,11.79,-2.31,11.1,11.5,20,0.5529,-0.0123,0,2766
Fri Aug 21 2026,SPX260821C03300000,0,0,3440.3,3457.2,0,0.5435,0.987,0,0,3300.00,SPX260821P03300000,12.44,-2.91,12.2,12.6,75,0.5398,-0.0137,0,2997
Fri Aug 21 2026,SPX260821C03400000,0,0,3342.6,3359.1,0,0.5253,0.9856,0,0,3400.00,SPX260821P03400000,13.64,-3.01,13.3,13.7,13,0.5265,-0.0151,0,1129
Fri Aug 21 2026,SPX260821C03500000,0,0,3251.2,3259.9,0,0.5219,0.984,0,0,3500.00,SPX260821P03500000,14.95,-3.1,14.4,14.8,4,0.513,-0.0167,0,284
Fri Aug 21 2026,SPX260821C03600000,0,0,3154.2,3162.8,0,0.508,0.9824,0,0,3600.00,SPX260821P03600000,18.86,0,15.6,16.1,0,0.5,-0.0184,0,277
Fri Aug 21 2026,SPX260821C03700000,0,0,3057.3,3065.7,0,0.4942,0.9805,0,0,3700.00,SPX260821P03700000,17.98,-3.02,16.9,17.4,10,0.4874,-0.0202,0,385
Fri Aug 21 2026,SPX260821C03750000,0,0,3008.8,3017.3,0,0.4875,0.9796,0,0,3750.00,SPX260821P03750000,19.66,0,17.6,18,0,0.4806,-0.0212,0,167
Fri Aug 21 2026,SPX260821C03800000,0,0,2960.4,2968.8,0,0.4808,0.9786,0,0,3800.00,SPX260821P03800000,18.28,-4.32,18.3,18.7,22,0.4743,-0.0222,0,149
Fri Aug 21 2026,SPX260821C03850000,0,0,2912,2920.2,0,0.4738,0.9775,0,0,3850.00,SPX260821P03850000,19.88,-3.62,19,19.5,2,0.4681,-0.0232,0,326
Fri Aug 21 2026,SPX260821C03900000,0,0,2863.7,2871.7,0,0.4673,0.9764,0,0,3900.00,SPX260821P03900000,21.96,0,19.8,20.2,0,0.4619,-0.0243,0,123
Fri Aug 21 2026,SPX260821C03950000,0,0,2815.3,2823.5,0,0.461,0.9753,0,0,3950.00,SPX260821P03950000,24.53,0,20.5,21,0,0.4556,-0.0254,0,112
Fri Aug 21 2026,SPX260821C04000000,2788.81,0,2767,2775.1,0,0.4545,0.9741,0,10,4000.00,SPX260821P04000000,22.17,-4.13,21.3,21.8,4,0.4494,-0.0266,0,1814
Fri Aug 21 2026,SPX260821C04050000,0,0,2718.7,2726.6,0,0.4478,0.9728,0,0,4050.00,SPX260821P04050000,23.38,-3.92,22.1,22.6,14,0.4432,-0.0279,0,135
Fri Aug 21 2026,SPX260821C04100000,2445.96,0,2670.5,2678.5,0,0.442,0.9716,0,0,4100.00,SPX260821P04100000,23.64,-4.86,23,23.5,40,0.4372,-0.0292,0,2443
Fri Aug 21 2026,SPX260821C04150000,0,0,2622.3,2630.2,0,0.4357,0.9702,0,0,4150.00,SPX260821P04150000,25.23,-4.37,23.9,24.4,6,0.4312,-0.0305,0,332
Fri Aug 21 2026,SPX260821C04200000,2725.46,0,2574.1,2582,0,0.4295,0.9688,0,1,4200.00,SPX260821P04200000,30.7,0,24.8,25.4,0,0.4253,-0.032,0,476
Fri Aug 21 2026,SPX260821C04250000,0,0,2525.8,2533.8,0,0.4231,0.9673,0,0,4250.00,SPX260821P04250000,31.8,0,25.8,26.4,0,0.4195,-0.0335,0,94
Fri Aug 21 2026,SPX260821C04300000,2279.28,0,2477.9,2485.7,0,0.418,0.9657,0,1,4300.00,SPX260821P04300000,26.67,-6.58,26.8,27.4,14,0.4136,-0.035,0,444
Fri Aug 21 2026,SPX260821C04350000,0,0,2429.8,2437.6,0,0.4114,0.964,0,0,4350.00,SPX260821P04350000,28.85,-5.55,27.8,28.5,8,0.4077,-0.0367,0,136
Fri Aug 21 2026,SPX260821C04375000,0,0,2404.7,2414.7,0,0.4091,0.9632,0,0,4375.00,SPX260821P04375000,34.42,0,28.4,29,0,0.4048,-0.0375,0,144
Fri Aug 21 2026,SPX260821C04400000,0,0,2381.8,2389.6,0,0.4055,0.9623,0,0,4400.00,SPX260821P04400000,31.33,-4.47,29,29.6,2,0.4021,-0.0384,0,640
Fri Aug 21 2026,SPX260821C04425000,0,0,2357.2,2366.2,0,0.4025,0.9614,0,0,4425.00,SPX260821P04425000,29.87,-6.63,29.5,30.2,4,0.3992,-0.0393,0,30
Fri Aug 21 2026,SPX260821C04450000,0,0,2333.9,2341.6,0,0.3997,0.9605,0,0,4450.00,SPX260821P04450000,30.41,-6.79,30.1,30.8,28,0.3964,-0.0402,0,177
Fri Aug 21 2026,SPX260821C04475000,0,0,2309.3,2318.3,0,0.3968,0.9595,0,0,4475.00,SPX260821P04475000,38,0,30.7,31.4,0,0.3935,-0.0412,0,443
Fri Aug 21 2026,SPX260821C04500000,0,0,2286,2293.7,0,0.3939,0.9586,0,0,4500.00,SPX260821P04500000,31.98,-6.82,31.4,32,4,0.3908,-0.0422,0,1497
