
Cboe Volatility Index,Last: 24.36,Change:  -2.83
Date: 16 marzo 2026 alle ore 13:41 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Aug 19 2026,VIX260819C00010000,13.26,-0.39,13,13.4,1,0,0.9816,0.0005,265,10.00,VIX260819P00010000,0.01,0,0,0.02,0,0.5233,-0.0011,0.0005,605
Wed Aug 19 2026,VIX260819C00010500,12.7,0,12.5,12.9,0,0,0.9808,0.0009,24,10.50,VIX260819P00010500,0.01,0,0,0.02,0,0.4952,-0.002,0.0009,1
Wed Aug 19 2026,VIX260819C00011000,12.46,0,12,12.4,0,0,0.9796,0.0014,63,11.00,VIX260819P00011000,0.02,0,0,0.03,0,0.4916,-0.0032,0.0014,1
Wed Aug 19 2026,VIX260819C00011500,11.3,0,11.5,11.95,0,0,0.9778,0.0021,9,11.50,VIX260819P00011500,0.01,0,0,0.04,0,0.4823,-0.005,0.0021,209
Wed Aug 19 2026,VIX260819C00012000,11.45,0,11.05,11.45,0,0,0.9753,0.003,158,12.00,VIX260819P00012000,0.01,0,0,0.04,0,0.4558,-0.0074,0.003,811
Wed Aug 19 2026,VIX260819C00012500,10.7,0,10.55,10.95,0,0,0.9721,0.0041,52,12.50,VIX260819P00012500,0.04,0,0,0.04,0,0.4304,-0.0106,0.0041,95
Wed Aug 19 2026,VIX260819C00013000,10.16,-0.615,10.05,10.5,3,0,0.968,0.0054,1307,13.00,VIX260819P00013000,0.03,0,0,0.05,0,0.4186,-0.0148,0.0054,112
Wed Aug 19 2026,VIX260819C00013500,9.85,0,9.6,10,0,0,0.9628,0.007,300,13.50,VIX260819P00013500,0.04,0,0.01,0.06,0,0.4144,-0.02,0.007,587
Wed Aug 19 2026,VIX260819C00014000,9.15,-0.675,9.15,9.55,18,0.3956,0.9564,0.009,647,14.00,VIX260819P00014000,0.07,0,0.02,0.08,0,0.4128,-0.0263,0.009,1775
Wed Aug 19 2026,VIX260819C00014500,8.75,-0.475,8.65,9.1,2,0.394,0.9484,0.0112,676,14.50,VIX260819P00014500,0.08,0,0.05,0.11,0,0.4218,-0.0344,0.0112,1538
Wed Aug 19 2026,VIX260819C00015000,8.35,-0.525,8.2,8.65,8,0.4105,0.9377,0.0139,468,15.00,VIX260819P00015000,0.13,0,0.1,0.17,0,0.4405,-0.0451,0.0139,1467
Wed Aug 19 2026,VIX260819C00016000,7.75,0,7.5,7.75,0,0.4632,0.9039,0.0204,379,16.00,VIX260819P00016000,0.33,0.02,0.27,0.33,5000,0.4727,-0.0788,0.0204,26554
Wed Aug 19 2026,VIX260819C00017000,7.2,0,6.75,7,0,0.4901,0.8574,0.0263,245,17.00,VIX260819P00017000,0.57,0,0.55,0.58,0,0.5074,-0.1254,0.0263,255
Wed Aug 19 2026,VIX260819C00018000,6.65,0,6.15,6.4,0,0.5328,0.8091,0.0307,458,18.00,VIX260819P00018000,0.91,-0.005,0.87,0.95,3,0.5368,-0.1737,0.0307,13375
Wed Aug 19 2026,VIX260819C00019000,5.66,-0.54,5.6,5.85,4,0.5624,0.7612,0.0337,135,19.00,VIX260819P00019000,1.39,0.04,1.32,1.4,2,0.5697,-0.2216,0.0337,384
Wed Aug 19 2026,VIX260819C00020000,5.2,-0.375,5.15,5.35,14,0.5905,0.715,0.0354,5764,20.00,VIX260819P00020000,1.91,0.06,1.84,1.93,2,0.6005,-0.2677,0.0354,14138
Wed Aug 19 2026,VIX260819C00021000,4.7,-0.6,4.75,4.95,2,0.619,0.672,0.0362,238,21.00,VIX260819P00021000,2.43,-0.015,2.43,2.51,4,0.6287,-0.3108,0.0362,294
Wed Aug 19 2026,VIX260819C00022000,4.43,-0.545,4.45,4.6,12,0.6496,0.6324,0.0365,27457,22.00,VIX260819P00022000,3.2,0.165,3,3.15,4,0.6495,-0.3504,0.0365,7482
Wed Aug 19 2026,VIX260819C00023000,4.54,0,4.1,4.3,0,0.6706,0.596,0.0364,29525,23.00,VIX260819P00023000,3.7,0,3.7,3.85,0,0.6778,-0.3868,0.0364,5917
Wed Aug 19 2026,VIX260819C00024000,4.25,0,3.85,4,0,0.6926,0.5627,0.0359,2248,24.00,VIX260819P00024000,4.45,0.075,4.4,4.55,1,0.6984,-0.42,0.0359,1324
Wed Aug 19 2026,VIX260819C00025000,3.65,-0.375,3.6,3.75,4,0.7123,0.5322,0.0353,9674,25.00,VIX260819P00025000,5.25,0.15,5.1,5.25,9,0.7125,-0.4506,0.0353,7651
Wed Aug 19 2026,VIX260819C00026000,3.5,-0.275,3.35,3.55,3,0.7306,0.5042,0.0346,285,26.00,VIX260819P00026000,5.98,0.13,5.85,6,52,0.7295,-0.4786,0.0346,138
Wed Aug 19 2026,VIX260819C00027000,3.25,-0.3,3.15,3.3,1,0.7441,0.4785,0.0338,379,27.00,VIX260819P00027000,6.65,0,6.65,6.8,0,0.75,-0.5043,0.0338,28
Wed Aug 19 2026,VIX260819C00028000,3.1,-0.275,2.99,3.15,1,0.765,0.4548,0.0329,373,28.00,VIX260819P00028000,7.58,0,7.45,7.6,0,0.7664,-0.5279,0.0329,74
Wed Aug 19 2026,VIX260819C00029000,2.85,-0.35,2.82,2.95,5,0.7772,0.433,0.032,417,29.00,VIX260819P00029000,8.3,0.15,8.25,8.4,2,0.779,-0.5497,0.032,19
Wed Aug 19 2026,VIX260819C00030000,2.79,-0.26,2.67,2.79,1,0.7912,0.4129,0.0312,11815,30.00,VIX260819P00030000,9.15,0.15,9.1,9.25,17,0.7967,-0.5699,0.0312,125
Wed Aug 19 2026,VIX260819C00031000,2.83,0,2.53,2.65,0,0.8047,0.3942,0.0303,218,31.00,VIX260819P00031000,10.04,0,9.95,10.1,0,0.8116,-0.5885,0.0303,16
Wed Aug 19 2026,VIX260819C00032000,2.76,0,2.4,2.53,0,0.8182,0.377,0.0294,448,32.00,VIX260819P00032000,0,0,10.8,10.95,0,0.8238,-0.6058,0.0294,0
Wed Aug 19 2026,VIX260819C00033000,2.58,0,2.29,2.41,0,0.8311,0.3609,0.0286,2177,33.00,VIX260819P00033000,11.65,0,11.65,11.8,0,0.8336,-0.6219,0.0286,20
Wed Aug 19 2026,VIX260819C00034000,2.45,0,2.18,2.3,0,0.8427,0.3459,0.0278,283,34.00,VIX260819P00034000,0,0,12.5,12.75,0,0.8501,-0.6369,0.0278,0
Wed Aug 19 2026,VIX260819C00035000,2.2,-0.205,2.08,2.21,48,0.8551,0.3319,0.027,11014,35.00,VIX260819P00035000,13.62,0.295,13.4,13.6,6,0.8603,-0.6509,0.027,3
Wed Aug 19 2026,VIX260819C00036000,2.01,-0.295,1.99,2.11,20,0.8656,0.3188,0.0262,345,36.00,VIX260819P00036000,0,0,14.3,14.5,0,0.8732,-0.664,0.0262,0
Wed Aug 19 2026,VIX260819C00037000,2.17,0,1.9,2.03,0,0.8764,0.3064,0.0255,1162,37.00,VIX260819P00037000,0,0,15.2,15.4,0,0.8845,-0.6763,0.0255,0
