
S&P 500 INDEX,Last: 6706.21,Change:  74.02
Date: 16 marzo 2026 alle ore 13:11 GMT-4,Bid: 6704.5698,Ask: 6708.0298,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 18 2026,SPX261218C00200000,6464.38,83.38,6453.3,6467.7,4,1.1356,1,0,256,200.00,SPX261218P00200000,0.05,-0.025,0,0.1,8,1.155,-0.0001,0,3592
Fri Dec 18 2026,SPX261218C00400000,6483.33,0,6248.6,6288,0,1.2172,1,0,122,400.00,SPX261218P00400000,0.05,0,0.05,0.2,0,0.9771,-0.0002,0,2636
Fri Dec 18 2026,SPX261218C00600000,6225,0,6055.7,6094.2,0,1.0715,1,0,128,600.00,SPX261218P00600000,0.29,-0.085,0.2,0.35,2,0.8836,-0.0003,0,6738
Fri Dec 18 2026,SPX261218C00800000,0,0,5861.9,5900.4,0,0.9494,1,0,0,800.00,SPX261218P00800000,0.63,-0.17,0.5,0.85,20,0.837,-0.0005,0,5288
Fri Dec 18 2026,SPX261218C01000000,5664.51,0,5678.4,5692.8,0,0.7844,1,0,3363,1000.00,SPX261218P01000000,1.11,-0.115,0.9,1.25,6,0.7814,-0.0008,0,11659
Fri Dec 18 2026,SPX261218C01200000,5595.25,0,5479.6,5506.5,0,0.7651,1,0,14,1200.00,SPX261218P01200000,1.71,-0.365,1.5,1.85,12,0.7383,-0.0012,0,5478
Fri Dec 18 2026,SPX261218C01400000,5348.43,0,5287.1,5313.4,0,0.7301,0.9996,0,1,1400.00,SPX261218P01400000,2.42,-0.58,2.3,2.65,3732,0.7013,-0.0018,0,4406
Fri Dec 18 2026,SPX261218C01600000,0,0,5094.8,5120.2,0,0.6937,0.9988,0,0,1600.00,SPX261218P01600000,3.48,-0.67,3.2,3.6,4,0.6664,-0.0025,0,8617
Fri Dec 18 2026,SPX261218C01800000,4442.73,0,4902.2,4926.9,0,0.6547,0.9979,0,9,1800.00,SPX261218P01800000,4.72,-0.98,4.5,4.7,4,0.6358,-0.0035,0,2242
Fri Dec 18 2026,SPX261218C02000000,4779.99,0,4713.6,4727.9,0,0.6088,0.9966,0,2125,2000.00,SPX261218P02000000,6.24,-1.16,6,6.3,1729,0.6088,-0.0047,0,29863
Fri Dec 18 2026,SPX261218C02200000,3431.65,0,4518.8,4541.9,0,0.5985,0.9951,0,2,2200.00,SPX261218P02200000,7.8,-1.55,7.7,8.1,5,0.5825,-0.0062,0,29884
Fri Dec 18 2026,SPX261218C02400000,3631.14,0,4324.9,4347.3,0,0.5531,0.9933,0,30,2400.00,SPX261218P02400000,9.74,-1.86,9.6,10.1,3,0.5569,-0.008,0,3939
Fri Dec 18 2026,SPX261218C02500000,4486.37,0,4229.2,4253.4,0,0.5491,0.9923,0,3,2500.00,SPX261218P02500000,10.87,-2.03,10.7,11.2,3,0.5447,-0.0091,0,38574
Fri Dec 18 2026,SPX261218C02600000,4058.64,0,4134,4155.6,0,0.5324,0.9911,0,273,2600.00,SPX261218P02600000,13.93,0,11.9,12.3,0,0.5326,-0.0102,0,5776
Fri Dec 18 2026,SPX261218C02700000,3857.54,0,4038.5,4059.8,0,0.5214,0.9899,0,1,2700.00,SPX261218P02700000,13.64,-2.01,13.1,13.6,212,0.5209,-0.0114,0,42726
Fri Dec 18 2026,SPX261218C02800000,3947.73,0,3943,3963.9,0,0.5097,0.9886,0,79,2800.00,SPX261218P02800000,14.94,-2.26,14.5,15,4,0.5098,-0.0127,0,23558
Fri Dec 18 2026,SPX261218C02900000,3899.12,0,3848.1,3869.8,0,0.5037,0.9872,0,1,2900.00,SPX261218P02900000,18.5,0,15.9,16.4,0,0.4985,-0.0141,0,1229
Fri Dec 18 2026,SPX261218C03000000,3757,0,3755.1,3769.3,0,0.4878,0.9857,0,1454,3000.00,SPX261218P03000000,18.03,-2.52,17.4,17.9,2,0.4875,-0.0157,0,10185
Fri Dec 18 2026,SPX261218C03100000,0,0,3661.3,3675,0,0.4814,0.984,0,0,3100.00,SPX261218P03100000,19.38,-2.97,19,19.5,2,0.4766,-0.0173,0,1760
Fri Dec 18 2026,SPX261218C03200000,3575.23,79.88,3566.1,3578.6,4,0.4689,0.9823,0,12,3200.00,SPX261218P03200000,21.3,-3,20.7,21.2,4,0.466,-0.0191,0,19939
Fri Dec 18 2026,SPX261218C03300000,3006.8,0,3471.2,3484.1,0,0.4595,0.9804,0,58,3300.00,SPX261218P03300000,22.58,-3.72,22.5,23,15,0.4555,-0.021,0,21020
Fri Dec 18 2026,SPX261218C03400000,2667.28,0,3376.2,3388.9,0,0.4489,0.9784,0,5,3400.00,SPX261218P03400000,24.98,-3.52,24.4,24.9,12,0.4452,-0.023,0,7042
Fri Dec 18 2026,SPX261218C03500000,3302.96,0,3281.3,3293.8,0,0.4384,0.9762,0,26,3500.00,SPX261218P03500000,30.94,0,26.4,26.9,0,0.435,-0.0252,0,36257
Fri Dec 18 2026,SPX261218C03600000,3265.65,0,3186.5,3195.4,0,0.4232,0.9738,0,103,3600.00,SPX261218P03600000,29.15,-4.1,28.6,29.1,24,0.4251,-0.0275,0,3419
Fri Dec 18 2026,SPX261218C03700000,3262.28,0,3091.9,3100.8,0,0.4139,0.9713,0,261,3700.00,SPX261218P03700000,31.51,-4.39,30.8,31.4,10,0.4152,-0.0301,0,3243
Fri Dec 18 2026,SPX261218C03800000,3194.2,0,2997.2,3006.1,0,0.404,0.9685,0,370,3800.00,SPX261218P03800000,34.13,-4.62,33.3,33.9,4,0.4057,-0.0328,0,3795
Fri Dec 18 2026,SPX261218C03850000,1506.1,0,2950.2,2958.9,0,0.3995,0.9671,0,20,3850.00,SPX261218P03850000,35.34,-5.06,34.6,35.2,4,0.4009,-0.0343,0,1441
Fri Dec 18 2026,SPX261218C03900000,3041.95,0,2903.1,2911.7,0,0.3949,0.9655,0,455,3900.00,SPX261218P03900000,40.77,0,36,36.5,0,0.3962,-0.0358,0,2631
Fri Dec 18 2026,SPX261218C03950000,1424,0,2856,2864.6,0,0.3903,0.964,0,65,3950.00,SPX261218P03950000,37.42,-6.18,37.2,38,2,0.3915,-0.0374,0,674
Fri Dec 18 2026,SPX261218C04000000,2783.5,0,2809.2,2817.5,0,0.386,0.9623,0,64413,4000.00,SPX261218P04000000,44.32,0,38.8,39.4,0,0.387,-0.039,0,75788
Fri Dec 18 2026,SPX261218C04050000,2865.8,0,2762.1,2770.4,0,0.3848,0.9606,0,10,4050.00,SPX261218P04050000,43.28,0,40.3,40.9,0,0.3824,-0.0408,0,2454
Fri Dec 18 2026,SPX261218C04100000,2809.2,0,2715.2,2723.5,0,0.3768,0.9587,0,828,4100.00,SPX261218P04100000,44.6,0,41.8,42.5,0,0.3779,-0.0426,0,4007
Fri Dec 18 2026,SPX261218C04125000,0,0,2690.3,2704.5,0,0.3774,0.9578,0,0,4125.00,SPX261218P04125000,47.5,0,42.7,43.4,0,0.3758,-0.0435,0,1429
Fri Dec 18 2026,SPX261218C04150000,2835.34,0,2668.4,2676.6,0,0.3724,0.9568,0,252,4150.00,SPX261218P04150000,44.45,-6.2,43.5,44.2,18,0.3736,-0.0445,0,1874
Fri Dec 18 2026,SPX261218C04175000,2348.66,0,2643.5,2658.6,0,0.3738,0.9559,0,0,4175.00,SPX261218P04175000,52,0,44.4,45.1,0,0.3715,-0.0454,0,304
Fri Dec 18 2026,SPX261218C04200000,2865.4,0,2621.6,2629.8,0,0.3681,0.9549,0,1701,4200.00,SPX261218P04200000,46.7,-6.2,45.1,45.9,4,0.3691,-0.0465,0,6304
Fri Dec 18 2026,SPX261218C04225000,2764.74,0,2596.8,2611.7,0,0.3693,0.9538,0,4,4225.00,SPX261218P04225000,47.33,-6.62,46,46.8,18,0.3669,-0.0475,0,249
Fri Dec 18 2026,SPX261218C04250000,2673.5,0,2574.9,2583.1,0,0.3638,0.9528,0,10,4250.00,SPX261218P04250000,48.5,-6.45,46.9,47.8,1,0.3649,-0.0485,0,1049
Fri Dec 18 2026,SPX261218C04275000,2415.62,0,2550.2,2564.2,0,0.3643,0.9517,0,114,4275.00,SPX261218P04275000,51.4,0,47.9,48.7,0,0.3628,-0.0496,0,547
Fri Dec 18 2026,SPX261218C04300000,2566.6,0,2528.3,2536.5,0,0.3596,0.9506,0,1739,4300.00,SPX261218P04300000,49.53,-7.72,48.9,49.7,2,0.3607,-0.0507,0,7037
Fri Dec 18 2026,SPX261218C04325000,1958.06,0,2503.6,2517.5,0,0.3599,0.9495,0,2,4325.00,SPX261218P04325000,58.5,0,49.9,50.6,0,0.3586,-0.0518,0,114
Fri Dec 18 2026,SPX261218C04350000,2729.1,0,2481.8,2490,0,0.3555,0.9484,0,24,4350.00,SPX261218P04350000,51.6,-7.95,50.9,51.6,1,0.3565,-0.053,0,800
Fri Dec 18 2026,SPX261218C04375000,1315.1,0,2457.2,2470.9,0,0.3556,0.9472,0,42,4375.00,SPX261218P04375000,49.82,0,51.9,52.7,0,0.3545,-0.0542,0,1241
Fri Dec 18 2026,SPX261218C04400000,2593.88,0,2435.4,2443.6,0,0.3515,0.946,0,982,4400.00,SPX261218P04400000,55.4,-6.35,53,53.7,6,0.3524,-0.0554,0,8686
Fri Dec 18 2026,SPX261218C04425000,2123.51,0,2410.8,2424.9,0,0.3518,0.9447,0.0001,7,4425.00,SPX261218P04425000,59.5,0,54,54.8,0,0.3504,-0.0566,0.0001,491
Fri Dec 18 2026,SPX261218C04450000,2100.69,0,2389.1,2400.5,0,0.3499,0.9435,0.0001,27,4450.00,SPX261218P04450000,64.8,0,55.1,55.9,0,0.3483,-0.0578,0.0001,1919
Fri Dec 18 2026,SPX261218C04475000,2604.08,0,2364.4,2378,0,0.3471,0.9422,0.0001,112,4475.00,SPX261218P04475000,58,-7.75,56.2,57,1,0.3463,-0.0592,0.0001,320
Fri Dec 18 2026,SPX261218C04500000,2325.39,0,2342.7,2353.8,0,0.3453,0.9408,0.0001,3163,4500.00,SPX261218P04500000,57.59,-9.31,57.4,58.2,4,0.3444,-0.0605,0.0001,17919
Fri Dec 18 2026,SPX261218C04525000,2565.06,0,2318.3,2331.7,0,0.3431,0.9395,0.0001,2,4525.00,SPX261218P04525000,62.32,0,58.5,59.4,0,0.3423,-0.0618,0.0001,630
Fri Dec 18 2026,SPX261218C04550000,2483,0,2296.7,2308.2,0,0.3418,0.9381,0.0001,16,4550.00,SPX261218P04550000,69.53,0,59.7,60.6,0,0.3403,-0.0632,0.0001,698
Fri Dec 18 2026,SPX261218C04575000,1276.84,0,2271.9,2286.1,0,0.3392,0.9367,0.0001,1,4575.00,SPX261218P04575000,66.9,0,61,61.8,0,0.3384,-0.0646,0.0001,186
