
S&P 500 INDEX,Last: 6706.21,Change:  74.02
Date: 16 marzo 2026 alle ore 13:10 GMT-4,Bid: 6704.5698,Ask: 6708.0298,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jul 17 2026,SPX260717C00200000,6449.87,0,6477.3,6497.8,0,2.2914,1,0,28,200.00,SPX260717P00200000,0.05,0,0,0.05,0,1.6535,-0.0001,0,41
Fri Jul 17 2026,SPX260717C00400000,6436.51,0,6280.6,6301.3,0,1.8678,1,0,20,400.00,SPX260717P00400000,0.1,0,0,0.1,0,1.3726,-0.0001,0,7112
Fri Jul 17 2026,SPX260717C00600000,6012.2,0,6083.4,6104,0,1.582,1,0,4,600.00,SPX260717P00600000,0.2,0,0,0.2,0,1.2257,-0.0002,0,5209
Fri Jul 17 2026,SPX260717C00800000,6092.38,0,5885.6,5906.1,0,1.3361,1,0,2,800.00,SPX260717P00800000,0.25,0,0.05,0.25,0,1.109,-0.0003,0,3674
Fri Jul 17 2026,SPX260717C01000000,5650.09,0,5688.5,5709,0,1.2027,1,0,7,1000.00,SPX260717P01000000,0.3,-0.05,0.15,0.45,1,1.0447,-0.0004,0,2550
Fri Jul 17 2026,SPX260717C01200000,0,0,5491.6,5512.4,0,1.1169,0.9999,0,2,1200.00,SPX260717P01200000,0.45,-0.15,0.35,0.6,1,0.9808,-0.0005,0,908
Fri Jul 17 2026,SPX260717C01400000,5525.72,0,5294.4,5314.8,0,1.0069,0.9997,0,3,1400.00,SPX260717P01400000,0.75,0,0.5,0.8,0,0.9185,-0.0007,0,506
Fri Jul 17 2026,SPXW260717C01400000,0,0,5294.3,5315.7,0,1.0312,0.9995,0,0,1400.00,SPXW260717P01400000,0.95,0,0.6,0.7,0,0.9175,-0.0008,0,13
Fri Jul 17 2026,SPX260717C01600000,4986.4,0,5097.6,5117.8,0,0.938,0.9994,0,1,1600.00,SPX260717P01600000,1.15,0,0.8,1.1,0,0.8708,-0.0009,0,1255
Fri Jul 17 2026,SPXW260717C01600000,0,0,5096.9,5118.2,0,0.9407,0.9993,0,0,1600.00,SPXW260717P01600000,1.5,0,0.8,1,0,0.8657,-0.0011,0,20
Fri Jul 17 2026,SPX260717C01800000,0,0,4901,4921.1,0,0.8854,0.999,0,0,1800.00,SPX260717P01800000,1.52,-0.38,1.2,1.5,124,0.8287,-0.0013,0,584
Fri Jul 17 2026,SPXW260717C01800000,0,0,4900,4921.1,0,0.874,0.9989,0,0,1800.00,SPXW260717P01800000,1.8,0,1.2,1.45,0,0.8262,-0.0014,0,21
Fri Jul 17 2026,SPX260717C02000000,4867.54,0,4703.7,4724,0,0.8172,0.9985,0,11,2000.00,SPX260717P02000000,1.83,-0.77,1.7,2,4,0.7893,-0.0018,0,1630
Fri Jul 17 2026,SPXW260717C02000000,0,0,4703.5,4724,0,0.8172,0.9984,0,0,2000.00,SPXW260717P02000000,1.89,-0.735,1.75,1.95,4,0.7884,-0.0019,0,17
Fri Jul 17 2026,SPX260717C02200000,4171,0,4507.6,4527.2,0,0.7775,0.9979,0,1,2200.00,SPX260717P02200000,2.5,-0.95,2.3,2.65,14,0.7526,-0.0025,0,2107
Fri Jul 17 2026,SPXW260717C02200000,0,0,4507.4,4527.1,0,0.7747,0.9978,0,0,2200.00,SPXW260717P02200000,3.68,0,2.35,2.6,0,0.7518,-0.0026,0,15
Fri Jul 17 2026,SPX260717C02400000,3981.35,0,4311.3,4331.1,0,0.7426,0.997,0,1,2400.00,SPX260717P02400000,3.25,-1.3,3.1,3.4,3,0.7184,-0.0034,0,1231
Fri Jul 17 2026,SPXW260717C02400000,0,0,4311.6,4330.3,0,0.7382,0.9969,0,0,2400.00,SPXW260717P02400000,3.46,0,3.2,3.4,0,0.7189,-0.0034,0,11
