
Cboe Volatility Index,Last: 24.36,Change:  -2.83
Date: 16 marzo 2026 alle ore 13:40 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Jul 22 2026,VIX260722C00010000,13.75,0,13.1,13.45,0,0,0.9842,0.0006,308,10.00,VIX260722P00010000,0.01,0,0,0.02,0,0.5776,-0.0014,0.0006,45
Wed Jul 22 2026,VIX260722C00010500,10.45,0,12.6,12.95,0,0,0.9837,0.0009,7,10.50,VIX260722P00010500,0.01,0,0,0.02,0,0.5466,-0.002,0.0009,21
Wed Jul 22 2026,VIX260722C00011000,12.45,0,12.1,12.45,0,0,0.9828,0.0013,73,11.00,VIX260722P00011000,0.02,0,0,0.03,0,0.5426,-0.0028,0.0012,10
Wed Jul 22 2026,VIX260722C00011500,11.4,0,11.6,12,0,0,0.9816,0.0018,3,11.50,VIX260722P00011500,0.01,0,0,0.03,0,0.513,-0.004,0.0018,9
Wed Jul 22 2026,VIX260722C00012000,11.5,0,11.1,11.5,0,0,0.9798,0.0025,150,12.00,VIX260722P00012000,0.02,0,0,0.04,0,0.503,-0.0059,0.0025,12
Wed Jul 22 2026,VIX260722C00012500,10.5,0,10.6,11,0,0,0.977,0.0035,6,12.50,VIX260722P00012500,0.02,0,0.01,0.04,0,0.4896,-0.0086,0.0035,220
Wed Jul 22 2026,VIX260722C00013000,10.45,0,10.15,10.5,0,0.3657,0.9731,0.0049,21,13.00,VIX260722P00013000,0.04,0,0.02,0.04,0,0.4741,-0.0125,0.0049,3139
Wed Jul 22 2026,VIX260722C00013500,9.45,0,9.65,10.05,0,0.4255,0.9678,0.0066,47,13.50,VIX260722P00013500,0.04,0,0.01,0.05,0,0.4468,-0.0178,0.0066,1713
Wed Jul 22 2026,VIX260722C00014000,9.25,-0.65,9.2,9.55,21,0.4377,0.9609,0.0087,1575,14.00,VIX260722P00014000,0.05,0,0.01,0.07,0,0.4394,-0.0248,0.0086,625
Wed Jul 22 2026,VIX260722C00014500,8.6,0,8.75,9.1,0,0.4674,0.952,0.0111,51,14.50,VIX260722P00014500,0.1,0,0.05,0.1,0,0.4599,-0.0337,0.0111,436
