
S&P 500 INDEX,Last: 6706.21,Change:  74.02
Date: 16 marzo 2026 alle ore 13:08 GMT-4,Bid: 6704.5698,Ask: 6708.0298,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Jun 18 2026,SPX260618C00200000,6481.55,71.8,6483.7,6498.3,2,2.76,1,0,1867,200.00,SPX260618P00200000,0.05,0,0,0.05,0,1.89,-0.0001,0,1895
Thu Jun 18 2026,SPX260618C00400000,6275.75,0,6282.5,6303,0,2.0817,1,0,24,400.00,SPX260618P00400000,0.05,0,0,0.1,0,1.5685,-0.0001,0,10179
Thu Jun 18 2026,SPX260618C00600000,0,0,6086.5,6105.1,0,1.8464,1,0,0,600.00,SPX260618P00600000,0.15,0,0,0.15,0,1.3734,-0.0002,0,5179
Thu Jun 18 2026,SPX260618C00800000,0,0,5888.7,5907.3,0,1.6197,0.9999,0,0,800.00,SPX260618P00800000,0.1,-0.05,0,0.15,1,1.2079,-0.0002,0,9754
Thu Jun 18 2026,SPX260618C01000000,5812.73,0,5690.8,5709.5,0,1.4442,0.9998,0,11,1000.00,SPX260618P01000000,0.25,0,0.1,0.3,0,1.1574,-0.0003,0,22401
Thu Jun 18 2026,SPX260618C01200000,5500,0,5493.1,5511.8,0,1.3114,0.9997,0,77,1200.00,SPX260618P01200000,0.25,-0.125,0.2,0.4,24,1.0799,-0.0004,0,6712
Thu Jun 18 2026,SPX260618C01400000,5497.74,0,5295.4,5314.1,0,1.2,0.9996,0,3,1400.00,SPX260618P01400000,0.4,-0.15,0.3,0.4,636,0.9964,-0.0005,0,11179
Thu Jun 18 2026,SPXW260618C01400000,5236.87,0,5293.3,5314,0,1.1347,0.9996,0,98,1400.00,SPXW260618P01400000,0.47,0,0.3,0.4,0,0.9951,-0.0005,0,3993
Thu Jun 18 2026,SPX260618C01600000,4788.9,0,5097.7,5116.2,0,1.0996,0.9994,0,2,1600.00,SPX260618P01600000,0.67,0,0.45,0.65,0,0.9478,-0.0007,0,8454
Thu Jun 18 2026,SPXW260618C01600000,0,0,5095.6,5116.2,0,1.0428,0.9994,0,0,1600.00,SPXW260618P01600000,0.68,0,0.45,0.55,0,0.9389,-0.0007,0,162
Thu Jun 18 2026,SPX260618C01800000,0,0,4900.2,4918.5,0,1.0199,0.9992,0,0,1800.00,SPX260618P01800000,0.75,-0.275,0.65,0.85,10,0.8958,-0.0009,0,7178
Thu Jun 18 2026,SPXW260618C01800000,0,0,4898,4918.6,0,0.9707,0.9992,0,0,1800.00,SPXW260618P01800000,1.1,0,0.6,0.75,0,0.8863,-0.0009,0,92
Thu Jun 18 2026,SPX260618C02000000,4844.32,0,4702.5,4720,0,0.9294,0.999,0,778,2000.00,SPX260618P02000000,0.98,-0.445,0.85,1.1,2,0.8464,-0.0012,0,7651
Thu Jun 18 2026,SPXW260618C02000000,0,0,4700.7,4720.7,0,0.9052,0.9989,0,0,2000.00,SPXW260618P02000000,0.95,-0.525,0.9,1.05,2,0.8453,-0.0012,0,594
Thu Jun 18 2026,SPX260618C02200000,4521.11,0,4505,4522.9,0,0.8766,0.9985,0,4,2200.00,SPX260618P02200000,1.35,-0.625,1.25,1.45,4,0.8086,-0.0016,0,6502
Thu Jun 18 2026,SPXW260618C02200000,0,0,4503.8,4522.4,0,0.8451,0.9985,0,0,2200.00,SPXW260618P02200000,1.9,0,1.2,1.4,0,0.803,-0.0016,0,304
