
Cboe Volatility Index,Last: 24.36,Change:  -2.83
Date: 16 marzo 2026 alle ore 13:39 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Jun 17 2026,VIX260617C00010000,13.65,0,12.8,13.15,0,0,0.9889,0.0003,349,10.00,VIX260617P00010000,0.01,0,0,0.02,0,0.6687,-0.0005,0.0003,7
Wed Jun 17 2026,VIX260617C00010500,13.16,0,12.35,12.7,0,0,0.9885,0.0005,21,10.50,VIX260617P00010500,0.02,0,0,0.02,0,0.6323,-0.0009,0.0005,2
Wed Jun 17 2026,VIX260617C00011000,12.2,0,11.85,12.2,0,0,0.9878,0.0008,69,11.00,VIX260617P00011000,0.02,0,0,0.03,0,0.6272,-0.0015,0.0008,172
Wed Jun 17 2026,VIX260617C00011500,10.22,0,11.35,11.7,0,0,0.9869,0.0013,0,11.50,VIX260617P00011500,0.02,0,0,0.03,0,0.5926,-0.0025,0.0013,205
Wed Jun 17 2026,VIX260617C00012000,10.6,0,10.85,11.2,0,0,0.9855,0.0019,145,12.00,VIX260617P00012000,0.01,0,0,0.03,0,0.5594,-0.0039,0.0019,1348
Wed Jun 17 2026,VIX260617C00012500,10.8,0,10.35,10.7,0,0,0.9834,0.0028,10,12.50,VIX260617P00012500,0.01,0,0,0.03,0,0.5275,-0.006,0.0028,128
Wed Jun 17 2026,VIX260617C00013000,10.3,0,9.85,10.2,0,0,0.9804,0.004,104,13.00,VIX260617P00013000,0.02,0.005,0,0.03,3,0.4968,-0.009,0.004,6172
Wed Jun 17 2026,VIX260617C00013500,9.65,0,9.4,9.75,0,0.3874,0.9763,0.0056,610,13.50,VIX260617P00013500,0.03,0,0.01,0.04,0,0.5006,-0.0131,0.0056,753
Wed Jun 17 2026,VIX260617C00014000,8.96,-0.84,9.05,9.2,1,0.4634,0.9707,0.0076,399,14.00,VIX260617P00014000,0.04,-0.005,0.02,0.04,50,0.483,-0.0187,0.0076,8505
Wed Jun 17 2026,VIX260617C00014500,9.2,0,8.55,8.7,0,0.4779,0.9628,0.0102,356,14.50,VIX260617P00014500,0.08,0.005,0.03,0.08,21,0.4995,-0.0266,0.0102,536
Wed Jun 17 2026,VIX260617C00015000,8.19,-0.66,8.1,8.25,45,0.5093,0.9514,0.0134,920,15.00,VIX260617P00015000,0.12,0,0.08,0.13,0,0.5288,-0.038,0.0134,30976
Wed Jun 17 2026,VIX260617C00016000,7.35,-0.7,7.25,7.4,2,0.5534,0.9154,0.0212,573,16.00,VIX260617P00016000,0.25,0,0.23,0.28,200,0.571,-0.0741,0.0212,37252
Wed Jun 17 2026,VIX260617C00017000,7.15,0,6.55,6.7,0,0.6092,0.8663,0.0282,1569,17.00,VIX260617P00017000,0.51,0.015,0.46,0.52,1,0.6089,-0.123,0.0282,49106
Wed Jun 17 2026,VIX260617C00018000,5.9,-0.725,5.9,6.05,14,0.6494,0.8148,0.0334,660,18.00,VIX260617P00018000,0.83,0.07,0.81,0.87,3,0.6525,-0.1747,0.0335,56375
Wed Jun 17 2026,VIX260617C00019000,5.37,-0.68,5.3,5.5,8,0.6904,0.763,0.0369,15152,19.00,VIX260617P00019000,1.29,0.04,1.25,1.31,11,0.6931,-0.2266,0.0369,56712
Wed Jun 17 2026,VIX260617C00020000,4.8,-0.75,4.85,5,226,0.7276,0.7129,0.0388,10004,20.00,VIX260617P00020000,1.85,0.125,1.75,1.83,27,0.7289,-0.2766,0.0388,29904
Wed Jun 17 2026,VIX260617C00021000,4.95,-0.15,4.45,4.6,2,0.7644,0.6664,0.0397,60558,21.00,VIX260617P00021000,2.3,0,2.34,2.42,0,0.7657,-0.3232,0.0397,44126
Wed Jun 17 2026,VIX260617C00022000,4.03,-0.695,4.1,4.25,89,0.7977,0.6237,0.0398,123205,22.00,VIX260617P00022000,3.1,0.205,2.98,3.1,5,0.8036,-0.3658,0.0398,37598
Wed Jun 17 2026,VIX260617C00023000,3.85,-0.55,3.8,3.95,101,0.8298,0.5849,0.0395,43121,23.00,VIX260617P00023000,3.8,0.225,3.65,3.75,16,0.829,-0.4047,0.0395,21353
Wed Jun 17 2026,VIX260617C00024000,3.65,-0.45,3.5,3.65,26,0.8516,0.5495,0.0388,10624,24.00,VIX260617P00024000,4.5,0.25,4.35,4.5,17,0.8586,-0.44,0.0388,4650
Wed Jun 17 2026,VIX260617C00025000,3.4,-0.45,3.3,3.4,51,0.8817,0.5172,0.038,33632,25.00,VIX260617P00025000,5.15,0.175,5.15,5.25,69,0.8904,-0.4721,0.038,1006
Wed Jun 17 2026,VIX260617C00026000,3.15,-0.475,3.05,3.2,33,0.9039,0.488,0.037,658,26.00,VIX260617P00026000,5.82,0,5.9,6,0,0.91,-0.5012,0.037,566
Wed Jun 17 2026,VIX260617C00027000,2.9,-0.525,2.9,2.99,2,0.9296,0.4614,0.0359,6582,27.00,VIX260617P00027000,6.74,0.215,6.7,6.8,13,0.9336,-0.5279,0.0359,325
Wed Jun 17 2026,VIX260617C00028000,2.74,-0.485,2.73,2.82,8,0.9519,0.437,0.0348,974,28.00,VIX260617P00028000,7.55,0.225,7.5,7.65,3,0.9572,-0.5522,0.0348,175
Wed Jun 17 2026,VIX260617C00029000,2.54,-0.505,2.57,2.66,16,0.9716,0.4148,0.0337,1057,29.00,VIX260617P00029000,8.39,0,8.35,8.45,0,0.976,-0.5744,0.0337,48
Wed Jun 17 2026,VIX260617C00030000,2.48,-0.41,2.43,2.52,344,0.9914,0.3945,0.0327,79559,30.00,VIX260617P00030000,9.34,0.39,9.2,9.3,2,0.9961,-0.5948,0.0327,803
Wed Jun 17 2026,VIX260617C00031000,2.65,-0.1,2.3,2.39,2,1.0097,0.3758,0.0316,476,31.00,VIX260617P00031000,10.16,0,10.05,10.2,0,1.018,-0.6135,0.0316,77
Wed Jun 17 2026,VIX260617C00032000,2.19,-0.43,2.18,2.28,6,1.0276,0.3587,0.0306,1251,32.00,VIX260617P00032000,11.1,0.425,10.9,11.05,24,1.0308,-0.6307,0.0306,10
Wed Jun 17 2026,VIX260617C00033000,2.44,0,2.07,2.18,0,1.0452,0.3428,0.0296,1526,33.00,VIX260617P00033000,11.85,0,11.8,11.95,0,1.052,-0.6466,0.0296,3
Wed Jun 17 2026,VIX260617C00034000,2,-0.395,1.97,2.08,20,1.0611,0.3281,0.0286,905,34.00,VIX260617P00034000,12.74,0.315,12.7,12.8,20,1.0707,-0.6613,0.0286,0
