
S&P 500 INDEX,Last: 6706.21,Change:  74.02
Date: 16 marzo 2026 alle ore 13:07 GMT-4,Bid: 6704.5698,Ask: 6708.0298,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri May 01 2026,SPXW260501C02800000,0,0,3905.6,3926.1,0,0.8822,0.9987,0,0,2800.00,SPXW260501P02800000,1.1,0,0.45,0.65,0,0.8373,-0.0013,0,5
Fri May 01 2026,SPXW260501C03000000,0,0,3706.9,3727.4,0,0.8312,0.9984,0,0,3000.00,SPXW260501P03000000,1.5,0,0.65,0.85,0,0.7965,-0.0016,0,11
Fri May 01 2026,SPXW260501C03200000,0,0,3507.8,3528.3,0,0.7548,0.998,0,0,3200.00,SPXW260501P03200000,1.55,0,0.9,1.15,0,0.7584,-0.002,0,65
Fri May 01 2026,SPXW260501C03400000,0,0,3309.1,3329.6,0,0.7098,0.9973,0,0,3400.00,SPXW260501P03400000,2.15,0,1.3,1.5,0,0.7224,-0.0027,0,118
Fri May 01 2026,SPXW260501C03600000,0,0,3111.2,3131.7,0,0.6982,0.9964,0,0,3600.00,SPXW260501P03600000,2.05,-1.2,1.8,2,3,0.6879,-0.0036,0,12
Fri May 01 2026,SPXW260501C03800000,0,0,2915.8,2930,0,0.6534,0.9952,0,0,3800.00,SPXW260501P03800000,2.6,-1.55,2.4,2.65,2,0.6534,-0.0048,0,13
Fri May 01 2026,SPXW260501C04000000,0,0,2718.4,2732,0,0.6284,0.9936,0,0,4000.00,SPXW260501P04000000,3.3,-1.95,3.1,3.3,2,0.6167,-0.0064,0,32
Fri May 01 2026,SPXW260501C04200000,0,0,2519.6,2533.5,0,0.5796,0.9915,0,0,4200.00,SPXW260501P04200000,4.16,-2.44,4,4.2,3,0.582,-0.0085,0,71
Fri May 01 2026,SPXW260501C04400000,0,0,2322,2334.5,0,0.5379,0.9888,0,0,4400.00,SPXW260501P04400000,7.9,0,5,5.3,0,0.5466,-0.0112,0,13
Fri May 01 2026,SPXW260501C04600000,0,0,2124.7,2137.2,0,0.5084,0.9853,0,0,4600.00,SPXW260501P04600000,6.95,-3.15,6.4,6.6,5,0.5123,-0.0147,0,30
Fri May 01 2026,SPXW260501C04800000,0,0,1928,1939,0,0.473,0.9808,0,0,4800.00,SPXW260501P04800000,8.13,-4.22,8,8.2,2,0.4774,-0.0192,0,97
Fri May 01 2026,SPXW260501C05000000,0,0,1732.1,1742.8,0,0.4456,0.975,0.0001,0,5000.00,SPXW260501P05000000,11.2,-4.1,10,10.3,15,0.4432,-0.025,0.0001,173
Fri May 01 2026,SPXW260501C05100000,0,0,1633.2,1643.6,0,0.4229,0.9714,0.0001,0,5100.00,SPXW260501P05100000,11.38,-5.72,11.2,11.5,1,0.4258,-0.0286,0.0001,11
Fri May 01 2026,SPXW260501C05200000,1568.57,0,1536,1545.4,0,0.4085,0.9672,0.0001,1,5200.00,SPXW260501P05200000,13.05,-6.2,12.6,12.9,1,0.4092,-0.0328,0.0001,1113
Fri May 01 2026,SPXW260501C05300000,0,0,1438.3,1448.2,0,0.3938,0.9623,0.0001,0,5300.00,SPXW260501P05300000,14.45,-7.4,14.2,14.6,8003,0.3927,-0.0377,0.0001,230
Fri May 01 2026,SPXW260501C05350000,0,0,1389.4,1399.1,0,0.3846,0.9595,0.0001,0,5350.00,SPXW260501P05350000,0,0,15.1,15.5,0,0.3843,-0.0405,0.0001,0
Fri May 01 2026,SPXW260501C05400000,0,0,1340.8,1350.3,0,0.3765,0.9564,0.0001,0,5400.00,SPXW260501P05400000,17.18,-7.77,16.2,16.6,2,0.3764,-0.0436,0.0001,277
Fri May 01 2026,SPXW260501C05450000,0,0,1291.8,1301.3,0,0.3668,0.953,0.0001,0,5450.00,SPXW260501P05450000,26.7,0,17.3,17.7,0,0.3686,-0.047,0.0001,20
Fri May 01 2026,SPXW260501C05500000,0,0,1243.2,1253.4,0,0.36,0.9492,0.0001,0,5500.00,SPXW260501P05500000,29.1,0,18.6,19,0,0.3608,-0.0508,0.0001,7
Fri May 01 2026,SPXW260501C05550000,0,0,1195.4,1204.7,0,0.3527,0.945,0.0001,0,5550.00,SPXW260501P05550000,20.11,-10.84,20,20.4,6,0.3533,-0.055,0.0001,26
Fri May 01 2026,SPXW260501C05600000,0,0,1146.8,1156.7,0,0.3448,0.9404,0.0001,0,5600.00,SPXW260501P05600000,23.6,-9.75,21.5,22,4,0.3456,-0.0596,0.0001,66
Fri May 01 2026,SPXW260501C05650000,0,0,1099.6,1108.5,0,0.3385,0.9352,0.0002,0,5650.00,SPXW260501P05650000,23.38,-12.67,23.3,23.7,30,0.3385,-0.0648,0.0002,14
Fri May 01 2026,SPXW260501C05700000,0,0,1051.5,1060.2,0,0.33,0.9295,0.0002,0,5700.00,SPXW260501P05700000,26.02,-13.08,25.2,25.7,14,0.3311,-0.0705,0.0002,46
Fri May 01 2026,SPXW260501C05725000,0,0,1027.4,1036.8,0,0.3266,0.9264,0.0002,0,5725.00,SPXW260501P05725000,0,0,26.2,26.7,0,0.3274,-0.0736,0.0002,0
Fri May 01 2026,SPXW260501C05750000,0,0,1003.9,1012.6,0,0.3228,0.9231,0.0002,0,5750.00,SPXW260501P05750000,28.95,-13.35,27.3,27.8,22,0.3239,-0.0769,0.0002,45
