
Cboe Volatility Index,Last: 24.36,Change:  -2.83
Date: 16 marzo 2026 alle ore 13:32 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue May 19 2026,VIX260519C00010000,12.8,-1.125,12.9,13.2,70,0,0.9924,0.0001,1180,10.00,VIX260519P00010000,0.01,0,0,0.02,0,0.8061,-0.0002,0.0001,3
Tue May 19 2026,VIX260519C00010500,11.5,0,12.4,12.7,0,0,0.9923,0.0002,5,10.50,VIX260519P00010500,0.03,0,0,0.02,0,0.7623,-0.0004,0.0002,2
Tue May 19 2026,VIX260519C00011000,13.47,0,11.9,12.2,0,0,0.992,0.0004,111,11.00,VIX260519P00011000,0.03,0,0,0.02,0,0.7205,-0.0007,0.0004,18
Tue May 19 2026,VIX260519C00011500,9.9,0,11.4,11.7,0,0,0.9913,0.0008,51,11.50,VIX260519P00011500,0.01,0,0,0.02,0,0.6805,-0.0013,0.0008,107
Tue May 19 2026,VIX260519C00012000,10.32,0,10.9,11.2,0,0,0.9902,0.0014,463,12.00,VIX260519P00012000,0.02,0,0,0.02,0,0.6422,-0.0025,0.0014,429
Tue May 19 2026,VIX260519C00012500,8.7,0,10.4,10.75,0,0,0.9882,0.0023,50,12.50,VIX260519P00012500,0.01,0,0,0.03,0,0.636,-0.0045,0.0023,26
Tue May 19 2026,VIX260519C00013000,10.2,-0.75,9.9,10.25,1,0,0.9852,0.0035,1052,13.00,VIX260519P00013000,0.01,0,0,0.02,1,0.5699,-0.0074,0.0035,986
Tue May 19 2026,VIX260519C00013500,9.5,-0.975,9.45,9.75,2,0,0.9811,0.0052,62,13.50,VIX260519P00013500,0.02,0.01,0,0.03,40,0.5633,-0.0116,0.0052,589
Tue May 19 2026,VIX260519C00014000,9.05,-0.925,8.95,9.25,1,0,0.9757,0.0072,390,14.00,VIX260519P00014000,0.04,0.02,0,0.04,7,0.5495,-0.017,0.0072,3321
Tue May 19 2026,VIX260519C00014500,8.65,-0.875,8.6,8.7,1,0.5679,0.9688,0.0096,112,14.50,VIX260519P00014500,0.04,0,0.01,0.06,0,0.5592,-0.0238,0.0096,1047
