
Cboe Volatility Index,Last: 24.36,Change:  -2.83
Date: 16 marzo 2026 alle ore 13:50 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Nov 18 2026,VIX261118C00010000,13,0,12.5,14.1,0,0.6902,0.9667,0.002,121,10.00,VIX261118P00010000,0.02,0,0,0.08,0,0.5009,-0.0065,0.002,101
Wed Nov 18 2026,VIX261118C00010500,0,0,11.85,13.65,0,0.5921,0.9646,0.0026,0,10.50,VIX261118P00010500,0,0,0,0.09,0,0.4832,-0.0086,0.0027,0
Wed Nov 18 2026,VIX261118C00011000,0,0,11.4,12.9,0,0,0.9621,0.0034,0,11.00,VIX261118P00011000,0.04,0,0.01,0.04,200,0.4206,-0.0111,0.0034,10
Wed Nov 18 2026,VIX261118C00011500,0,0,11.15,12.4,0,0,0.9592,0.0042,0,11.50,VIX261118P00011500,0,0,0,0.1,0,0.4408,-0.0141,0.0042,0
Wed Nov 18 2026,VIX261118C00012000,11.1,0,10.45,11.95,0,0,0.9556,0.0052,9,12.00,VIX261118P00012000,0.02,-0.02,0.01,0.11,26,0.4298,-0.0177,0.0052,269
Wed Nov 18 2026,VIX261118C00012500,0,0,10.45,11.2,0,0,0.9515,0.0063,0,12.50,VIX261118P00012500,0,0,0,0.14,0,0.4175,-0.0218,0.0063,0
Wed Nov 18 2026,VIX261118C00013000,10.35,0,10,10.85,0,0.4017,0.9466,0.0076,5,13.00,VIX261118P00013000,0.06,0,0,0.17,0,0.4086,-0.0267,0.0076,20
Wed Nov 18 2026,VIX261118C00013500,0,0,9.55,10.4,0,0.3668,0.9407,0.0091,0,13.50,VIX261118P00013500,0.19,0,0.01,0.21,0,0.4055,-0.0327,0.0091,1
Wed Nov 18 2026,VIX261118C00014000,9.25,0,9.1,9.95,0,0.3761,0.9332,0.0109,5,14.00,VIX261118P00014000,0.08,0,0.07,0.25,0,0.414,-0.0402,0.0109,49
Wed Nov 18 2026,VIX261118C00014500,8.85,0,8.6,9.5,0,0.3623,0.9235,0.013,0,14.50,VIX261118P00014500,0.09,-0.05,0.08,0.3,1,0.4062,-0.0499,0.013,106
Wed Nov 18 2026,VIX261118C00015000,8.4,0,8.2,9,0,0.3871,0.9114,0.0154,25,15.00,VIX261118P00015000,0.24,0.02,0.15,0.29,2001,0.3966,-0.0621,0.0154,1880
Wed Nov 18 2026,VIX261118C00016000,7.3,0,7.35,8.3,0,0.4132,0.8795,0.0204,0,16.00,VIX261118P00016000,0.32,0,0.32,0.57,0,0.4281,-0.0938,0.0204,234
Wed Nov 18 2026,VIX261118C00017000,6.84,0,6.7,7.5,0,0.4295,0.8378,0.025,13,17.00,VIX261118P00017000,0.78,0.11,0.65,0.78,54,0.446,-0.1358,0.025,1624
Wed Nov 18 2026,VIX261118C00018000,6.65,0,6.1,7.05,0,0.4708,0.7924,0.0283,37,18.00,VIX261118P00018000,1.27,0.26,1.05,1.2,5,0.4766,-0.1813,0.0283,103
Wed Nov 18 2026,VIX261118C00019000,6,0,5.6,6.55,0,0.4973,0.7484,0.0303,1,19.00,VIX261118P00019000,1.55,0.005,1.5,1.84,1,0.5148,-0.2253,0.0304,89
