
Cboe Volatility Index,Last: 24.36,Change:  -2.83
Date: 16 marzo 2026 alle ore 13:50 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Oct 21 2026,VIX261021C00010000,13.5,0,12.95,13.75,0,0,0.9711,0.0017,34,10.00,VIX261021P00010000,0.01,0,0,0.05,0,0.4998,-0.0052,0.0017,3
Wed Oct 21 2026,VIX261021C00010500,0,0,12.45,13.3,0,0,0.9692,0.0023,0,10.50,VIX261021P00010500,0,0,0,0.08,0,0.5061,-0.0071,0.0023,0
Wed Oct 21 2026,VIX261021C00011000,12.02,0,12,12.85,0,0,0.9668,0.003,40,11.00,VIX261021P00011000,0.01,0,0,0.08,0,0.4796,-0.0095,0.003,10
Wed Oct 21 2026,VIX261021C00011500,10.89,0,11.5,12.3,0,0,0.964,0.0038,2,11.50,VIX261021P00011500,0,0,0,0.08,0,0.4543,-0.0123,0.0038,0
Wed Oct 21 2026,VIX261021C00012000,10.56,0,11,11.7,0,0,0.9606,0.0048,11,12.00,VIX261021P00012000,0,0,0,0.09,0,0.4379,-0.0157,0.0048,0
Wed Oct 21 2026,VIX261021C00012500,0,0,10.55,11.35,0,0,0.9567,0.0059,0,12.50,VIX261021P00012500,0.02,0,0,0.07,0,0.3987,-0.0196,0.0059,202
Wed Oct 21 2026,VIX261021C00013000,10.1,0,10.05,10.95,0,0,0.9521,0.0071,11,13.00,VIX261021P00013000,0.02,0,0.02,0.11,0,0.4159,-0.0243,0.0071,46
Wed Oct 21 2026,VIX261021C00013500,9.77,0,9.6,10.4,0,0.301,0.9468,0.0086,2,13.50,VIX261021P00013500,0.1,0,0,0.14,0,0.398,-0.0296,0.0086,1
Wed Oct 21 2026,VIX261021C00014000,9.05,0,9.1,9.95,0,0.3155,0.9408,0.0102,40,14.00,VIX261021P00014000,0.05,0,0.04,0.17,0,0.4051,-0.0356,0.0102,28
Wed Oct 21 2026,VIX261021C00014500,8.52,0,8.65,9.55,0,0.3679,0.934,0.0119,17,14.50,VIX261021P00014500,0.13,0,0.05,0.22,0,0.4021,-0.0423,0.012,31
Wed Oct 21 2026,VIX261021C00015000,8,0,8.25,9.05,0,0.3725,0.9261,0.014,27,15.00,VIX261021P00015000,0.17,0,0.07,0.2,0,0.3787,-0.0503,0.014,324
Wed Oct 21 2026,VIX261021C00016000,7.75,0,7.45,8.25,0,0.4075,0.8924,0.0197,4,16.00,VIX261021P00016000,0.3,0,0.3,0.49,0,0.4406,-0.0842,0.0198,28
Wed Oct 21 2026,VIX261021C00017000,7.16,-0.24,6.75,7.5,20,0.4342,0.8486,0.0248,57,17.00,VIX261021P00017000,0.65,0,0.55,0.7,0,0.4534,-0.128,0.0248,1014
Wed Oct 21 2026,VIX261021C00018000,6.6,-0.1,6.15,6.9,1,0.4678,0.8049,0.0287,209,18.00,VIX261021P00018000,0.9,-0.065,0.81,1,50,0.4624,-0.1717,0.0288,371
Wed Oct 21 2026,VIX261021C00019000,5.65,-0.65,5.65,6.4,1,0.5014,0.7596,0.0314,22,19.00,VIX261021P00019000,1.4,-0.005,1.16,1.62,1,0.4982,-0.2171,0.0314,214
Wed Oct 21 2026,VIX261021C00020000,5.85,0,5.25,5.95,0,0.5324,0.7158,0.0328,357,20.00,VIX261021P00020000,1.98,0.045,1.77,2.14,11,0.5318,-0.2609,0.0328,146
Wed Oct 21 2026,VIX261021C00021000,5,0,4.9,5.55,0,0.5594,0.6754,0.0335,75,21.00,VIX261021P00021000,2.66,0,2.5,2.7,0,0.5657,-0.3012,0.0335,19
Wed Oct 21 2026,VIX261021C00022000,4.87,0,4.55,5.2,0,0.5809,0.6383,0.0337,14,22.00,VIX261021P00022000,3.8,0,2.87,3.45,0,0.5774,-0.3379,0.0337,42
Wed Oct 21 2026,VIX261021C00023000,4.35,0,4.25,4.9,0,0.6023,0.6043,0.0336,23,23.00,VIX261021P00023000,3.9,0,3.7,4.1,0,0.6082,-0.3719,0.0336,3
Wed Oct 21 2026,VIX261021C00024000,4.26,-0.065,4,4.55,5,0.6175,0.573,0.0333,47,24.00,VIX261021P00024000,4.85,0.325,4.35,4.85,6,0.6267,-0.4032,0.0333,5
Wed Oct 21 2026,VIX261021C00025000,4.1,0,4,4.1,0,0.6381,0.5441,0.0329,309,25.00,VIX261021P00025000,5.75,0,5.2,5.55,0,0.6505,-0.4322,0.0329,10
Wed Oct 21 2026,VIX261021C00026000,4,0,3.55,4.05,0,0.6506,0.5174,0.0324,37,26.00,VIX261021P00026000,6.7,0,5.85,6.3,0,0.6592,-0.4589,0.0324,1
Wed Oct 21 2026,VIX261021C00027000,3.65,-0.075,3.3,3.85,1,0.6627,0.4925,0.0318,17,27.00,VIX261021P00027000,6.8,0,6.6,7.05,0,0.6711,-0.4837,0.0318,18
Wed Oct 21 2026,VIX261021C00028000,3.4,0,3.1,3.65,0,0.6748,0.4695,0.0312,97,28.00,VIX261021P00028000,7.55,0.05,7.35,7.85,1,0.6831,-0.5068,0.0312,2
Wed Oct 21 2026,VIX261021C00029000,2.93,0,2.87,3.45,0,0.6817,0.448,0.0305,208,29.00,VIX261021P00029000,8.41,0.11,8.15,8.65,10,0.6955,-0.5283,0.0305,11
Wed Oct 21 2026,VIX261021C00030000,3.02,0.005,2.76,3.25,20,0.6943,0.4279,0.0298,366,30.00,VIX261021P00030000,9.5,0,8.9,9.45,0,0.7016,-0.5484,0.0298,1
