
S&P 500 INDEX,Last: 6706.21,Change:  74.02
Date: 16 marzo 2026 alle ore 13:11 GMT-4,Bid: 6704.5698,Ask: 6708.0298,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 18 2026,SPX260918C00200000,6467.23,71.4302,6466.1,6486.6,2,1.3708,1,0,28,200.00,SPX260918P00200000,0.04,-0.01,0,0.1,1,1.4064,-0.0001,0,242
Fri Sep 18 2026,SPX260918C00400000,6495.95,0,6270.2,6290.7,0,1.1195,1,0,1,400.00,SPX260918P00400000,0.07,-0.055,0,0.15,1,1.1479,-0.0001,0,558
Fri Sep 18 2026,SPX260918C00600000,6046.13,0,6074.9,6095.4,0,1.1571,1,0,0,600.00,SPX260918P00600000,0.18,-0.145,0.1,0.25,3,1.0389,-0.0003,0,32032
Fri Sep 18 2026,SPX260918C00800000,6081.94,0,5879.2,5899.7,0,1.043,1,0,0,800.00,SPX260918P00800000,0.45,0,0.3,0.45,0,0.9689,-0.0004,0,31454
Fri Sep 18 2026,SPX260918C01000000,5687.16,0,5682.9,5703.4,0,0.8883,1,0,0,1000.00,SPX260918P01000000,0.8,0,0.5,0.8,0,0.9078,-0.0006,0,11416
Fri Sep 18 2026,SPX260918C01200000,5241.91,0,5487.9,5508.5,0,0.8859,1,0,0,1200.00,SPX260918P01200000,1.27,0,0.85,1.15,0,0.8538,-0.0008,0,9014
Fri Sep 18 2026,SPX260918C01400000,0,0,5292.4,5313.1,0,0.8306,0.9997,0,0,1400.00,SPX260918P01400000,1.89,0,1.3,1.6,0,0.8067,-0.0012,0,6089
Fri Sep 18 2026,SPX260918C01600000,0,0,5096.6,5117.1,0,0.7624,0.9992,0,0,1600.00,SPX260918P01600000,2.15,-0.575,1.9,2.25,4,0.7669,-0.0017,0,8749
Fri Sep 18 2026,SPX260918C01800000,0,0,4901.3,4921.6,0,0.7194,0.9985,0,0,1800.00,SPX260918P01800000,3.02,-0.68,2.7,3,4,0.7305,-0.0024,0,4274
Fri Sep 18 2026,SPX260918C02000000,4712.4,0,4707.2,4725.9,0,0.6757,0.9977,0,57,2000.00,SPX260918P02000000,4.9,0,3.6,4,0,0.6968,-0.0032,0,5365
Fri Sep 18 2026,SPX260918C02200000,0,0,4512.1,4531.9,0,0.664,0.9966,0,0,2200.00,SPX260918P02200000,4.92,-1.28,4.8,5.2,4,0.6663,-0.0044,0,3713
Fri Sep 18 2026,SPX260918C02300000,4356.4,0,4414.3,4434.4,0,0.644,0.9959,0,18,2300.00,SPX260918P02300000,5.75,0,5.4,5.8,0,0.6504,-0.005,0,2842
Fri Sep 18 2026,SPX260918C02400000,0,0,4317.5,4337.2,0,0.6335,0.9952,0,0,2400.00,SPX260918P02400000,6.17,-1.58,6.1,6.4,3,0.635,-0.0057,0,1413
Fri Sep 18 2026,SPX260918C02500000,0,0,4220.2,4240,0,0.6188,0.9944,0,0,2500.00,SPX260918P02500000,6.92,-1.68,6.8,7.2,1,0.6206,-0.0065,0,2451
Fri Sep 18 2026,SPX260918C02600000,0,0,4122.7,4142.3,0,0.6001,0.9936,0,0,2600.00,SPX260918P02600000,7.75,-1.8,7.6,7.9,2,0.606,-0.0073,0,2961
Fri Sep 18 2026,SPX260918C02700000,0,0,4025.8,4045.1,0,0.5874,0.9927,0,0,2700.00,SPX260918P02700000,10.42,0,8.4,8.8,0,0.5921,-0.0082,0,1264
Fri Sep 18 2026,SPX260918C02800000,0,0,3929.5,3948.4,0,0.5791,0.9917,0,0,2800.00,SPX260918P02800000,11.44,0,9.3,9.7,0,0.5785,-0.0092,0,2079
Fri Sep 18 2026,SPX260918C02900000,0,0,3832.5,3850.9,0,0.5636,0.9906,0,0,2900.00,SPX260918P02900000,12.8,0,10.2,10.6,0,0.5646,-0.0104,0,1166
Fri Sep 18 2026,SPX260918C03000000,3738.43,0,3735.6,3753.4,0,0.5487,0.9894,0,52,3000.00,SPX260918P03000000,11.36,-2.59,11.2,11.5,165,0.5509,-0.0115,0,7344
Fri Sep 18 2026,SPX260918C03100000,0,0,3639.4,3657.3,0,0.5407,0.9881,0,0,3100.00,SPX260918P03100000,15.1,0,12.3,12.7,0,0.5385,-0.0128,0,760
Fri Sep 18 2026,SPX260918C03200000,3542.88,69.48,3542.5,3560,2,0.526,0.9868,0,10,3200.00,SPX260918P03200000,13.56,-3.09,13.5,13.9,8,0.526,-0.0142,0,2098
Fri Sep 18 2026,SPX260918C03300000,0,0,3446.2,3463.7,0,0.5158,0.9853,0,0,3300.00,SPX260918P03300000,17.94,0,14.7,15.1,0,0.5133,-0.0156,0,854
Fri Sep 18 2026,SPX260918C03400000,3585.5,0,3353.9,3363.2,0,0.5045,0.9837,0,1,3400.00,SPX260918P03400000,16.02,-3.58,16,16.4,2,0.5009,-0.0172,0,2018
Fri Sep 18 2026,SPX260918C03450000,0,0,3305.5,3314.9,0,0.498,0.9828,0,0,3450.00,SPX260918P03450000,17.45,-3,16.6,17,2,0.4944,-0.0181,0,354
Fri Sep 18 2026,SPX260918C03500000,3488.91,0,3257.2,3266.6,0,0.4917,0.982,0,1,3500.00,SPX260918P03500000,17.33,-3.82,17.3,17.7,108,0.4883,-0.019,0,4254
Fri Sep 18 2026,SPX260918C03550000,0,0,3209.1,3218.7,0,0.4866,0.9811,0,0,3550.00,SPX260918P03550000,18.2,-3.8,18,18.4,1,0.4824,-0.0199,0,658
Fri Sep 18 2026,SPX260918C03600000,0,0,3160.9,3170.3,0,0.4802,0.9801,0,0,3600.00,SPX260918P03600000,22.43,0,18.8,19.1,0,0.4762,-0.0208,0,2980
Fri Sep 18 2026,SPX260918C03650000,0,0,3112.6,3121.6,0,0.4729,0.9791,0,0,3650.00,SPX260918P03650000,20.19,-3.51,19.5,19.9,2,0.4702,-0.0218,0,397
Fri Sep 18 2026,SPX260918C03700000,0,0,3064.5,3073.8,0,0.4679,0.9781,0,0,3700.00,SPX260918P03700000,24.6,0,20.3,20.7,0,0.4644,-0.0228,0,2221
Fri Sep 18 2026,SPX260918C03750000,0,0,3016.3,3025.1,0,0.4608,0.977,0,0,3750.00,SPX260918P03750000,25.7,0,21.1,21.5,0,0.4584,-0.0239,0,1027
Fri Sep 18 2026,SPX260918C03800000,3045.36,0,2968.2,2976.9,0,0.4548,0.9759,0,1,3800.00,SPX260918P03800000,22.4,-4.25,21.9,22.3,140,0.4524,-0.025,0,992
Fri Sep 18 2026,SPX260918C03850000,0,0,2920.1,2929.2,0,0.4497,0.9748,0,0,3850.00,SPX260918P03850000,27.5,0,22.7,23.1,0,0.4464,-0.0261,0,467
Fri Sep 18 2026,SPX260918C03900000,2281.71,0,2872,2880.6,0,0.4429,0.9736,0,0,3900.00,SPX260918P03900000,24.24,-4.36,23.6,24,40,0.4407,-0.0273,0,1152
Fri Sep 18 2026,SPX260918C03950000,0,0,2823.9,2832.5,0,0.437,0.9723,0,0,3950.00,SPX260918P03950000,28.36,0,24.5,25,0,0.4351,-0.0286,0,294
Fri Sep 18 2026,SPX260918C03975000,0,0,2798.8,2810.3,0,0.4352,0.9717,0,0,3975.00,SPX260918P03975000,29.9,0,25,25.4,0,0.4321,-0.0292,0,255
Fri Sep 18 2026,SPX260918C04000000,2945.9,0,2775.9,2784.9,0,0.4319,0.971,0,15,4000.00,SPX260918P04000000,25.6,-5.25,25.5,25.9,7,0.4294,-0.0299,0,6315
Fri Sep 18 2026,SPX260918C04025000,0,0,2750.8,2762.2,0,0.4293,0.9703,0,0,4025.00,SPX260918P04025000,27.1,-4.3,26,26.4,1,0.4266,-0.0306,0,472
Fri Sep 18 2026,SPX260918C04050000,0,0,2728,2736.9,0,0.4263,0.9696,0,0,4050.00,SPX260918P04050000,32.1,0,26.4,26.9,0,0.4236,-0.0313,0,698
